,PMCID,Journal Title,Year,data_shared,code_relevant,preprint,data_upon_request,code_shared,code_upon_request,preregistration,OSF_exploratory
0,PMC3095378,Front Psychol,2010,0,0,1,0,0,0,0,0
1,PMC3095379,Front Psychol,2010,0,1,1,0,0,0,0,0
2,PMC3095380,Front Psychol,2010,0,1,1,0,0,0,0,0
3,PMC3095381,Front Psychol,2010,0,0,1,0,0,0,0,0
4,PMC3095384,Front Psychol,2010,0,0,1,0,0,0,0,0
5,PMC3095386,Front Psychol,2010,0,0,1,0,0,0,0,0
6,PMC3108400,Front Psychol,2011,0,0,0,0,0,0,0,0
7,PMC3108551,Front Psychol,2011,0,0,1,0,0,0,0,0
8,PMC3108552,Front Psychol,2011,0,0,0,0,0,0,0,0
9,PMC3108554,Front Psychol,2011,0,1,0,0,0,0,0,0
10,PMC3108559,Front Psychol,2011,0,1,0,0,0,0,0,0
11,PMC3108577,Front Psychol,2011,0,0,0,0,0,0,0,0
12,PMC3108578,Front Psychol,2011,0,1,0,0,1,0,0,0
13,PMC3108582,Front Psychol,2011,0,0,0,0,0,0,0,0
14,PMC3108583,Front Psychol,2011,0,1,1,0,0,0,0,0
15,PMC3110332,Front Psychol,2011,0,0,0,0,0,0,0,0
16,PMC3110334,Front Psychol,2011,0,1,0,0,1,0,0,0
17,PMC3110336,Front Psychol,2011,0,1,1,0,0,0,0,0
18,PMC3110337,Front Psychol,2011,0,0,1,0,0,0,0,0
19,PMC3110338,Front Psychol,2011,0,0,0,0,0,0,0,0
20,PMC3110339,Front Psychol,2011,0,0,0,0,0,0,0,0
21,PMC3110341,Front Psychol,2011,0,0,0,0,0,0,0,0
22,PMC3110342,Front Psychol,2011,0,0,0,0,0,0,0,0
23,PMC3110343,Front Psychol,2011,0,1,1,0,0,0,0,0
24,PMC3110345,Front Psychol,2011,0,0,0,0,0,0,0,0
25,PMC3110381,Front Psychol,2011,0,0,0,0,0,0,0,0
26,PMC3110382,Front Psychol,2011,0,0,1,0,0,0,0,0
27,PMC3110383,Front Psychol,2011,0,0,0,0,0,0,0,0
28,PMC3110394,Front Psychol,2011,0,0,0,0,0,0,0,0
29,PMC3110419,Front Psychol,2011,0,1,0,0,0,0,0,0
30,PMC3110420,Front Psychol,2011,0,0,0,0,0,0,0,0
31,PMC3110423,Front Psychol,2011,0,0,1,0,0,0,0,0
32,PMC3110480,Front Psychol,2011,0,1,1,0,1,0,0,0
33,PMC3110481,Front Psychol,2011,0,0,0,0,0,0,0,0
34,PMC3110482,Front Psychol,2011,0,0,0,0,0,0,0,0
35,PMC3110485,Front Psychol,2011,0,0,0,0,0,0,0,0
36,PMC3110486,Front Psychol,2011,0,0,0,0,0,0,0,0
37,PMC3110491,Front Psychol,2011,0,0,1,0,0,0,0,0
38,PMC3110497,Front Psychol,2011,0,0,0,0,0,0,0,0
39,PMC3110498,Front Psychol,2011,0,0,0,0,0,0,0,0
40,PMC3110500,Front Psychol,2011,0,1,1,0,0,0,0,0
41,PMC3110522,Front Psychol,2011,0,1,0,0,0,0,0,0
42,PMC3110573,Front Psychol,2011,0,0,0,0,0,0,0,0
43,PMC3110620,Front Psychol,2011,0,1,1,0,0,0,0,0
44,PMC3110703,Front Psychol,2011,0,0,0,0,0,0,0,0
45,PMC3110735,Front Psychol,2011,0,0,1,0,0,0,0,0
46,PMC3110771,Front Psychol,2011,0,1,0,0,0,0,0,0
47,PMC3110775,Front Psychol,2011,0,0,0,0,0,0,0,0
48,PMC3110785,Front Psychol,2011,0,0,0,0,0,0,0,0
49,PMC3110796,Front Psychol,2011,0,0,0,0,0,0,0,0
50,PMC3110812,Front Psychol,2011,0,0,0,0,0,0,0,0
51,PMC3110813,Front Psychol,2011,0,1,1,0,0,0,0,0
52,PMC3110826,Front Psychol,2011,0,0,1,0,0,0,0,0
53,PMC3110830,Front Psychol,2011,0,0,0,0,1,0,0,0
